,project,bugid,test,test_method,pattern,commit_modified,report_url
78,Closure,4,TypeCheckTest,testConversionFromInterfaceToRecursiveConstructor,1,['efefb736fccc2039b5fb079710b3f2ac82b8c6e4'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-873.json
79,Closure,4,TypeCheckTest,testImplementsExtendsLoop,1,['efefb736fccc2039b5fb079710b3f2ac82b8c6e4'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-873.json
80,Closure,4,TypeCheckTest,testImplementsLoop,1,['efefb736fccc2039b5fb079710b3f2ac82b8c6e4'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-873.json
81,Closure,5,InlineObjectLiteralsTest,testNoInlineDeletedProperties,1,['59eec92e364b2ec2cec9dd63449f5c0134983f18'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-851.json
82,Closure,6,LooseTypeCheckTest,testTypeRedefinition,3,"['de13c3313c05f4449c50c560324389d6905a214d', '465282f1ca28a208b06c47b55fd292d4631c55da', 'e9f7e6114414f68deb90f4116861d7a054365404', '9f7a353385bf0b93cdaeaa56cc5b1450db790127']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-635.json
83,Closure,6,TypeCheckTest,testIssue635b,1,['9f7a353385bf0b93cdaeaa56cc5b1450db790127'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-635.json
84,Closure,6,TypeCheckTest,testTypeRedefinition,3,"['77b7c78d4aeeb6471f2f668a06c0f61a68f95ccd', 'de13c3313c05f4449c50c560324389d6905a214d', '465282f1ca28a208b06c47b55fd292d4631c55da', 'e9f7e6114414f68deb90f4116861d7a054365404', '9f7a353385bf0b93cdaeaa56cc5b1450db790127']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-635.json
85,Closure,7,ClosureReverseAbstractInterpreterTest,testGoogIsFunction2,1,['e736b1c92981fafdc87f3f41f66918305f173734'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-841.json
86,Closure,7,SemanticReverseAbstractInterpreterTest,testTypeof3,1,['e736b1c92981fafdc87f3f41f66918305f173734'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-841.json
87,Closure,8,CollapseVariableDeclarationsTest,testIssue820,1,['6300a43566d4adcf8828128267808a8740edc835'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-820.json
88,Closure,9,ProcessCommonJSModulesTest,testGuessModuleName,3,"['32f4884ca5aa648d48d988d8d7dada88212d6dbe', 'e9c15465c000c19ef4e0b8f68a680589ae4111d7']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-824.json
89,Closure,10,PeepholeFoldConstantsTest,testIssue821,1,['0884a4cbef1c82153ef306477a12af0480385a35'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-821.json
90,Closure,11,TypeCheckTest,testGetprop4,1,['482b767639e6eec7c30d8898851560c41b66d885'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-810.json
91,Closure,11,TypeCheckTest,testIssue810,1,['482b767639e6eec7c30d8898851560c41b66d885'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-810.json
92,Closure,12,FlowSensitiveInlineVariablesTest,testIssue794b,1,['d06ac163013a3779fcec7c2f544ba99d08f69f58'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-794.json
93,Closure,13,IntegrationTest,testIssue787,1,['d6d733f461ee5ba26e9326c1c7609f1f00d6d2db'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-787.json
94,Closure,14,CheckMissingReturnTest,testIssue779,1,['4b15b25f400335b6e2820cb690430324748372f9'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-779.json
95,Closure,14,ControlFlowAnalysisTest,testDeepNestedBreakwithFinally,3,"['6b49cfd9022fe111bdad745c78ea877fbc2f7ba3', '4b15b25f400335b6e2820cb690430324748372f9']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-779.json
96,Closure,14,ControlFlowAnalysisTest,testDeepNestedFinally,3,"['6b49cfd9022fe111bdad745c78ea877fbc2f7ba3', '4b15b25f400335b6e2820cb690430324748372f9']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-779.json
97,Closure,15,FlowSensitiveInlineVariablesTest,testSimpleForIn,1,['968b3f467f51c6bfec18af1fbcf980a0f19a1fb3'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-773.json
98,Closure,16,IntegrationTest,testIssue772,1,['3b97e5e4212c769daa22a96094ed19b4658c8760'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-772.json
99,Closure,16,ScopedAliasesTest,testIssue772,1,['3b97e5e4212c769daa22a96094ed19b4658c8760'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-772.json
100,Closure,17,TypeCheckTest,testIssue688,1,['33ab4df84afbdb36216b8a1ea3a526c438615e26'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-688.json
101,Closure,18,IntegrationTest,testDependencySorting,1,['ea119a2d06328852763f9ee447c3bf74fa1f83dc'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-768.json
102,Closure,19,TypeInferenceTest,testNoThisInference,1,['686146c4de7d2bd985156ae15175365633dd0f94'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-769.json
103,Closure,20,PeepholeSubstituteAlternateSyntaxTest,testSimpleFunctionCall,3,"['dfdbb7db25c17eed1315afbfa0229f339528ffc3', '6da361c5865ecac18ee147014c9e84244d19c2a9', '413b936f57cc2e91f608875251448d57483a2f78', '3f6743d5fe399a7475e072eedf87b23017e91d40', '208aa65bee67c464bbe5b9bf5e6385b8a06a920f', 'ebf229b05f4ee71bc05d70830f5dd5683271d661']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-759.json
104,Closure,21,CheckSideEffectsTest,testUselessCode,3,"['6b49cfd9022fe111bdad745c78ea877fbc2f7ba3', 'ff9dc85e994c34448130ee5bb38f801ab2f6ba16', '43a55234ef122a1ed98681ce0350506207b878d5', 'dbf6ea95477810188582b9e9ac6c9645717cbe95', '1787d7b2cff83a0f177dd958033c53e4502406d2']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-753.json
105,Closure,22,CheckSideEffectsTest,testUselessCode,3,"['6b49cfd9022fe111bdad745c78ea877fbc2f7ba3', 'ff9dc85e994c34448130ee5bb38f801ab2f6ba16', '43a55234ef122a1ed98681ce0350506207b878d5']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-753.json
106,Closure,23,PeepholeFoldConstantsTest,testFoldGetElem,3,"['9925370292834ea846727f1f9db76af0d40261df', 'cf3fcbbc124d5b8948d7bef5215c45d80dbeae8e', '653599e7c3922059a78958ea32b216ff9c42800e', 'b59cdd9e2dc64d2db86b90982c200a78f2f85e50']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-747.json
107,Closure,24,ScopedAliasesTest,testNonAliasLocal,3,"['a9757e8c7d85f9ee9622b3e5352955ba3429733d', '8c4a625cdec89e6b1fa452fbb73c6f8d4c56b701', '70ca6014779735bdc52ca0e80e528257829a15e7']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-737.json
108,Closure,25,TypeInferenceTest,testBackwardsInferenceNew,1,['2e904fcdc3bc09e3bff557fcfca383ba7e450095'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-729.json
109,Closure,26,CommandLineRunnerTest,testProcessCJS,3,"['5ef7a8a0a8263e8fd0291c7f11ad0bf4bd9cb1a4', '372eb11e44b8559004bfe78a5b4003caf0072135']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json
110,Closure,26,CommandLineRunnerTest,testTransformAMDAndProcessCJS,3,"['5ef7a8a0a8263e8fd0291c7f11ad0bf4bd9cb1a4', '372eb11e44b8559004bfe78a5b4003caf0072135']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json
111,Closure,26,ProcessCommonJSModulesTest,testDash,3,"['5ef7a8a0a8263e8fd0291c7f11ad0bf4bd9cb1a4', '372eb11e44b8559004bfe78a5b4003caf0072135']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json
112,Closure,26,ProcessCommonJSModulesTest,testExports,3,"['5ef7a8a0a8263e8fd0291c7f11ad0bf4bd9cb1a4', '372eb11e44b8559004bfe78a5b4003caf0072135']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json
113,Closure,26,ProcessCommonJSModulesTest,testModuleName,3,"['5ef7a8a0a8263e8fd0291c7f11ad0bf4bd9cb1a4', '32f4884ca5aa648d48d988d8d7dada88212d6dbe', '372eb11e44b8559004bfe78a5b4003caf0072135']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json
114,Closure,26,ProcessCommonJSModulesTest,testVarRenaming,3,"['5ef7a8a0a8263e8fd0291c7f11ad0bf4bd9cb1a4', '372eb11e44b8559004bfe78a5b4003caf0072135']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json
115,Closure,26,ProcessCommonJSModulesTest,testWithoutExports,3,"['5ef7a8a0a8263e8fd0291c7f11ad0bf4bd9cb1a4', '372eb11e44b8559004bfe78a5b4003caf0072135']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json
116,Closure,27,IRTest,testIssue727_1,1,['7a8983042131c5a9c2b5421ae42075cbb8ef1aeb'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-727.json
117,Closure,27,IRTest,testIssue727_2,1,['7a8983042131c5a9c2b5421ae42075cbb8ef1aeb'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-727.json
118,Closure,27,IRTest,testIssue727_3,1,['7a8983042131c5a9c2b5421ae42075cbb8ef1aeb'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-727.json
119,Closure,28,InlineCostEstimatorTest,testCost,3,"['6b49cfd9022fe111bdad745c78ea877fbc2f7ba3', '59dbb7a28680caad08ddb1658123fe0cbb1ae689']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-728.json
120,Closure,28,InlineFunctionsTest,testIssue728,1,['59dbb7a28680caad08ddb1658123fe0cbb1ae689'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-728.json
121,Closure,29,InlineObjectLiteralsTest,testIssue724,1,['6924915efab89f921fd0779fe200fecc1bf80847'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-724.json
122,Closure,29,InlineObjectLiteralsTest,testObject10,3,"['23cf56d241b46465bd0f112ad0cc9c6ba5583fae', '5fd1037e79cbdbf8fb5734f40c604a145ada03b2', '34de1a205f3c1e4eaed32ccc1aeea4197ddf57c0', '6924915efab89f921fd0779fe200fecc1bf80847']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-724.json
123,Closure,29,InlineObjectLiteralsTest,testObject12,3,"['23cf56d241b46465bd0f112ad0cc9c6ba5583fae', '5fd1037e79cbdbf8fb5734f40c604a145ada03b2', '34de1a205f3c1e4eaed32ccc1aeea4197ddf57c0', '6924915efab89f921fd0779fe200fecc1bf80847']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-724.json
124,Closure,29,InlineObjectLiteralsTest,testObject22,3,"['ab11c6a445cea2045b5e8e8cbe0686f6fadc98df', '5fd1037e79cbdbf8fb5734f40c604a145ada03b2', '34de1a205f3c1e4eaed32ccc1aeea4197ddf57c0', '6924915efab89f921fd0779fe200fecc1bf80847']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-724.json
125,Closure,29,IntegrationTest,testIssue724,1,['6924915efab89f921fd0779fe200fecc1bf80847'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-724.json
126,Closure,30,FlowSensitiveInlineVariablesTest,testCanInlineAcrossNoSideEffect,3,"['74a817bbf5256d671036356c58096f612535e4a2', '38e2b8f247423734adec3dbd76fa22da1a3561a8']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-698.json
127,Closure,30,FlowSensitiveInlineVariablesTest,testInlineAcrossSideEffect1,3,"['74a817bbf5256d671036356c58096f612535e4a2', '38e2b8f247423734adec3dbd76fa22da1a3561a8']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-698.json
128,Closure,30,FlowSensitiveInlineVariablesTest,testIssue698,1,['38e2b8f247423734adec3dbd76fa22da1a3561a8'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-698.json
129,Closure,31,CommandLineRunnerTest,testDependencySortingWhitespaceMode,1,['0a670cb51fd56c12c19f98884c9513792ebc3f76'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-703.json
130,Closure,32,IntegrationTest,testIssue701,1,['66c8c695fd8130e3ede6f77c6e5cc1ec96a0e9b3'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-701.json
131,Closure,32,JsDocInfoParserTest,testParseLicense,3,"['c25df7eca2462861bf42ad8b74215099c3f81ae6', '66c8c695fd8130e3ede6f77c6e5cc1ec96a0e9b3']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-701.json
132,Closure,32,JsDocInfoParserTest,testParseLicenseAscii,1,['66c8c695fd8130e3ede6f77c6e5cc1ec96a0e9b3'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-701.json
133,Closure,32,JsDocInfoParserTest,testParsePreserve,3,"['c25df7eca2462861bf42ad8b74215099c3f81ae6', '66c8c695fd8130e3ede6f77c6e5cc1ec96a0e9b3']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-701.json
134,Closure,33,TypeCheckTest,testIssue700,1,['382422adae8e9f07fc23c94089c0ebe08a2174bc'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-700.json
135,Closure,34,CodePrinterTest,testManyAdds,1,['87b154f89cba3c67045cd7a783b79231d0630a4c'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-691.json
136,Closure,35,TypeCheckTest,testIssue669,1,['22784dc96c391b01692ce686eb93b9aa0ef74ede'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-669.json
137,Closure,36,IntegrationTest,testSingletonGetter1,1,['be397ee0d0be2aad8f71d12f097b17563866445a'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-668.json
138,Closure,37,IntegrationTest,testIncompleteFunction,1,['7e93d521cb67ce33018315234fafe8a5aa30ee1e'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-663.json
139,Closure,38,CodePrinterTest,testMinusNegativeZero,1,['8cf08115c6b252f8c6b54348a4089dccc45a01fb'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-657.json
140,Closure,39,RecordTypeTest,testLongToString,3,"['febdacb341025491b3ae83ee8ffa9d22c69c295e', '4a1a31c6a50a0fbe25fa33277909bd51f1deb8e9', 'd577973fb378dfe0d05991ec0dfa6c1f40e574ee']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-643.json
141,Closure,39,RecordTypeTest,testRecursiveRecord,3,"['febdacb341025491b3ae83ee8ffa9d22c69c295e', 'd577973fb378dfe0d05991ec0dfa6c1f40e574ee']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-643.json
142,Closure,40,IntegrationTest,testIssue284,1,['6ebc0c3d7d4da7d2cf95f53d4ea790e89d3abc7a'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-284.json
143,Closure,40,NameAnalyzerTest,testIssue284,1,['6ebc0c3d7d4da7d2cf95f53d4ea790e89d3abc7a'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-284.json
144,Closure,41,LooseTypeCheckTest,testMethodInference6,3,"['de13c3313c05f4449c50c560324389d6905a214d', '00b1517c53912ac6843c257c0a6ead1176e8c5ee']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-368.json
145,Closure,41,TypeCheckTest,testIssue368,1,['00b1517c53912ac6843c257c0a6ead1176e8c5ee'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-368.json
146,Closure,41,TypeCheckTest,testMethodInference6,3,"['77b7c78d4aeeb6471f2f668a06c0f61a68f95ccd', '00b1517c53912ac6843c257c0a6ead1176e8c5ee']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-368.json
147,Closure,42,ParserTest,testForEach,1,['fb01427a445ebfeb3af5e220a98ccaced339b73e'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-644.json
148,Closure,43,TypeCheckTest,testLends10,1,['f636f23bdef4b27752ca249a28463ec1b6af1f0b'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-314.json
149,Closure,43,TypeCheckTest,testLends11,1,['f636f23bdef4b27752ca249a28463ec1b6af1f0b'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-314.json
150,Closure,44,CodePrinterTest,testIssue620,1,['64bb2291f9a9bbab67d865dffe603f8a0df8ef30'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-620.json
151,Closure,45,RemoveUnusedVarsTest,testIssue618_1,1,['6aa71f116df0102a98c463f471ad8ddd4dba01f8'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-618.json
152,Closure,46,JSTypeTest,testRecordTypeLeastSuperType2,3,"['845f5ff65858fd0d1829f3d2f16f758725e8028f', 'cf5fd88f13f0b11625ac407f85cb58b36862e173', '6bbac115c9a7928a7053b2da3a78df9569df8570', '4a1a31c6a50a0fbe25fa33277909bd51f1deb8e9']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-603.json
153,Closure,46,JSTypeTest,testRecordTypeLeastSuperType3,3,"['845f5ff65858fd0d1829f3d2f16f758725e8028f', 'cf5fd88f13f0b11625ac407f85cb58b36862e173', '6bbac115c9a7928a7053b2da3a78df9569df8570', '4a1a31c6a50a0fbe25fa33277909bd51f1deb8e9']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-603.json
154,Closure,46,RecordTypeTest,testSupAndInf,1,['4a1a31c6a50a0fbe25fa33277909bd51f1deb8e9'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-603.json
157,Closure,47,SourceMapGeneratorV3Test,testBasicMappingGoldenOutput,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'ffd701db8fd53ccb34c32b954227e65a33b77c84', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
158,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput0a,1,['aedce35970673f20696d5721acba13e986cc764c'],https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
159,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput1,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'ffd701db8fd53ccb34c32b954227e65a33b77c84', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
160,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput2,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'ffd701db8fd53ccb34c32b954227e65a33b77c84', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
161,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput3,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
162,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput4,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
163,Closure,47,SourceMapGeneratorV3Test,testGoldenOutput5,3,"['ef2dd6e0723162aaf56cf58eeede68622caeca37', 'aedce35970673f20696d5721acba13e986cc764c']",https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-575.json
